"idGerencia","Gerencia","RelacionDireccion"
"GRC-001","Coordinador de Mtto a Instalaciones","Dirección de Administración y Finanzas"
"GRC-002","Coordinación de Almacen","Dirección de Administración y Finanzas"
"GRC-003","Coordinación de Servicios Generales ","Dirección de Administración y Finanzas"
"GRC-004","Gerencia de Obra Planeación y Mantenimiento","Dirección de Administración y Finanzas"
"GRC-005","Gerencia de Contraloria Administrativa","Dirección de Administración y Finanzas"
"GRC-006","Dirección de Infraestructura","Dirección de Operación de Distribución"
"GRC-007","Coordinación de Monitoreo e Inspección","Dirección de Operación de Distribución"
"GRC-008","Coordinación de Tanques y Rebombeos","Dirección de Operación de Distribución"
"GRC-009","Gerencia de Adminstración del Agua","Dirección de Operación de Distribución"
"GRC-010","Gerencia de Drenaje y Alcantarillado","Dirección de Operación de Distribución"
"GRC-011","Departamento de Análisis y Dictamen Técnico","Dirección de Operación de Distribución"
"GRC-012","Gerencia de Detección y Reparación de Fugas","Dirección de Operación de Distribución"
"GRC-013","Coordinación Centinela del agua","Dirección de Operación de Distribución"
"GRC-014","Direccion De Inversion Y Mantenimiento","Dirección de Operación de Producción y Obras"
"GRC-015","Departamento Seguimiento De Obra","Dirección de Operación de Producción y Obras"
"GRC-016","Coordinacion Integracion Exp Obra","Dirección de Operación de Producción y Obras"
"GRC-017","Departamento De Gestion Ambiental","Dirección de Operación de Producción y Obras"
"GRC-018","Coordinacion Gestion Tram Ambiental","Dirección de Operación de Producción y Obras"
"GRC-019","Coordinacion Sustentabilidad Ambiental","Dirección de Operación de Producción y Obras"
"GRC-020","Gerencia Ftes Abastecimiento Y Produc","Dirección de Operación de Producción y Obras"
"GRC-021","Departamento De Produccion","Dirección de Operación de Producción y Obras"
"GRC-022","Coordinacion Continuidad Operacion","Dirección de Operación de Producción y Obras"
"GRC-023","Coordinacion De Macromedidores","Dirección de Operación de Producción y Obras"
"GRC-024","Coordinacion Modelacion Agua Sub Superf","Dirección de Operación de Producción y Obras"
"GRC-025","Depto Eficiencia En La Conduccion","Dirección de Operación de Producción y Obras"
"GRC-026","Coordinacion Control Analisis L De C","Dirección de Operación de Producción y Obras"
"GRC-027","Coordinacion Control Analisis Energetico","Dirección de Operación de Producción y Obras"
"GRC-028","Coordinacion Conv Seg Obras Drenaje","Dirección de Operación de Producción y Obras"
"GRC-029","Gerencia de Mantenimiento Electromecanico Y Energia","Dirección de Operación de Producción y Obras"
"GRC-030","Departamento de Mantenimiento Mecanico En Pozos","Dirección de Operación de Producción y Obras"
"GRC-031","Coordinación de Imagen y seguridad en pozos","Dirección de Operación de Producción y Obras"
"GRC-032","Departamento Mantenimiento Eléctrico","Dirección de Operación de Producción y Obras"
"GRC-033","Coordinación Mtto Hidráulico a Pozos","Dirección de Operación de Producción y Obras"
"GRC-034","Coordinación Mantenimiento Electrico En Pozos","Dirección de Operación de Producción y Obras"
"GRC-035","Departamento Mtto Mecanico Rebombeos","Dirección de Operación de Producción y Obras"
"GRC-036","Mtto Ext De Eq De Bomb Reb","Dirección de Operación de Producción y Obras"
"GRC-037","Dirección Calidad del Agua","Dirección de Drenaje y Saneamiento"
"GRC-038","Departamento de Laboratorio Acreditado EMMA","Dirección de Drenaje y Saneamiento"
"GRC-039","Departamento de Calidad del Agua","Dirección de Drenaje y Saneamiento"
"GRC-040","Gerencia de Saneamiento","Dirección de Drenaje y Saneamiento"
"GRC-041","Gerencia de Potabilización","Dirección de Drenaje y Saneamiento"
"GRC-042","Gerencia de Supervisión e Inversión de Agua Potable","Dirección de Drenaje y Saneamiento"
"GRC-043","Departamento Supervisión de Obras de Agua Potable","Dirección de Drenaje y Saneamiento"
"GRC-044","DEPTO MANTTO PREVENTIVO Y CORRECTIVO","Dirección de Drenaje y Saneamiento"
"GRC-045","DEPTO MODERNIZACION DE PLANTAS","Dirección de Drenaje y Saneamiento"
"GRC-046","Depto Tecnico Acua","Dirección Comercial"
"GRC-047","Depto Aves Acua","Dirección Comercial"
"GRC-048","Depto Control De Descargas","Dirección Comercial"
"GRC-049","Depto Facturacion Comercial","Dirección Comercial"
"GRC-050","Depto De Lecturas","Dirección Comercial"
"GRC-051","Departamento de Soporte Técnico","Dirección de Transformación Digital"
"GRC-052","Departamento de Ciberseguridad","Dirección de Transformación Digital"
"GRC-053","Departamento de Cartografía","Dirección de Transformación Digital"
"GRC-054","Gerencia de Automatización y Monitoreo","Dirección de Transformación Digital"
"GRC-055","Gerencia de Balance Hídrico","Dirección de Transformación Digital"
"GRC-056","Gerencia De Proyectos De Agua Y Drenaje","Dirección de Planeación"
"GRC-057","Departamento De Eficiencia Fisica","Dirección de Planeación"
"GRC-058","Departamento Integracion Proyectos","Dirección de Planeación"
"GRC-059","Coordinacion De Topografia","Dirección de Planeación"
"GRC-060","Coordinacion De Estructuras","Dirección de Planeación"
"GRC-061","Coordinacion De Electromecanico","Dirección de Planeación"
"GRC-062","Gerencia Paseo Del Rio","Dirección de Planeación"
"GRC-063","Coordinacion Mtto A La Automatizacion","Dirección de Planeación"
"GRC-064","Gerencia De Medicion","Dirección de Planeación"
"GRC-065","Departamento De Automatizacion","Dirección de Planeación"
"GRC-066","Coordinacion Proyec Automatizacion","Dirección de Planeación"
"GRC-067","Departamento De Micromedicion","Dirección de Planeación"
"GRC-068","Gerencia De Contratos","Dirección de Planeación"
"GRC-069","Depto De Gestion Administrativa","Dirección de Planeación"
"GRC-070","Depto De Concursos Y Costos","Dirección de Planeación"
"GRC-071","Depto Exp De Inversion","Dirección de Planeación"
"GRC-072","Coordinación de Planeación","Dirección de Planeación"
"GRC-073","Gerencia De Proyectos De Agua Y Drenaje","Dirección de Planeación"
"GRC-074","Gerencia De Contratos","Dirección de Planeación"
"GRC-075","Gerencia de Desarrollo de Capital Humano","Dirección General"
"GRC-076","Departamento de Enfermería","Dirección General"
"GRC-077","Departamento de Cultura del Agua","Dirección General"
"GRC-078","Gerencia de Seguridad e Higiene","Dirección General"
"GRC-079","Dirección General","Dirección General"
